eventID,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimIdentification,scientificName,vernacularName,eventRemarks
bsp142109607,2022-11-15,2022-11-16 01:08:12 UTC,39.951753,-75.150121,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,"On sidewalk by W. side of the building. Bird was smashed, maggots present. Most likely a sparrow but impossible to say for sure."
bsp142109623,2022-11-15,2022-11-16 01:07:46 UTC,39.951753,-75.150121,Hermit Thrush,Catharus guttatus,Hermit Thrush,On the grass on the E. side of the building
bsp142243276,2022-10-06,,40.0902180556,-75.0972180556,Bay-breasted Warbler,Setophaga castanea,Bay-breasted Warbler,"See observation https://www.inaturalist.org/observations/137764404 .
This bird was noticed on the ground, stunned, about 11:00 am. lying upside down on its back about 18-inches from a large window on the north side of a building. The bird righted itself (see photo) and rested there for at least 45 minutes. Later in the day, the bird was gone. Reported this as a bird-window collision to https://birdmapper.org/ ."
bsp143298752,2022-11-29,2022-11-29 21:39:08 UTC,39.9172298843,-75.1395144035,Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,Window strike another likely Junco that was older and very decayed about 5 feet away
bsp143298830,2022-11-29,2022-11-29 21:40:04 UTC,39.9172404874,-75.1395212766,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Window strike
bsp143576552,2022-12-03,,39.951714,-75.15572,Virginia Rail,Rallus limicola,Virginia Rail,Unknown how long it’s been up on glass awning.
bsp144006666,2022-12-05,2022-12-05 14:11:09 UTC,39.9818022356,-75.1557271713,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,"Window strike, evaluated for injuries, kept in warm quiet box before releasing a few hours later"
bsp144006745,2022-12-09,2022-12-09 14:19:57 UTC,39.9813641061,-75.1531097998,American Woodcock,Scolopax minor,American Woodcock,Window strike
bsp144006795,2022-12-09,2022-12-09 14:20:05 UTC,39.9813780672,-75.1531750112,American Woodcock,Scolopax minor,American Woodcock,Window strike
bsp144006845,2022-12-09,2022-12-09 14:20:53 UTC,39.9813636205,-75.1532666423,American Woodcock,Scolopax minor,American Woodcock,"Window strike, not collected due to condition"
bsp144006985,2022-11-09,2022-11-09 18:54:41 UTC,39.9813258731,-75.1531384759,American Woodcock,Scolopax minor,American Woodcock,Window strike
bsp144007066,2022-11-09,2022-11-09 18:54:47 UTC,39.9813113077,-75.1531668648,Song Sparrow,Melospiza melodia,Song Sparrow,Window strike
bsp144007124,2022-11-09,2022-11-09 20:11:00 UTC,39.9837104887,-75.1536186453,American Woodcock,Scolopax minor,American Woodcock,"Injured window strike, transported to rehab. No front face photos due to head wound"
bsp145583288,2023-01-01,2023-01-01 15:44:26 UTC,39.9373283333,-75.1570583333,House Sparrow,Passer domesticus,House Sparrow,
bsp145865471,2023-01-04,2023-01-04 19:26:55 UTC,39.9487231334,-75.1961859785,American Woodcock,Scolopax minor,American Woodcock,
bsp147950673,2023-01-28,2023-01-28 21:45:56 UTC,39.9524348227,-75.1951131485,House Sparrow,Passer domesticus,House Sparrow,
bsp149828776,2023-02-27,2023-02-27 15:51:53 UTC,39.9820420086,-75.1546269247,American Woodcock,Scolopax minor,American Woodcock,"Window strike, cold"
bsp150053127,2023-03-02,2023-03-02 13:46:17 UTC,39.9809533333,-75.1524666667,Song Sparrow,Melospiza melodia,Song Sparrow,
bsp150214801,2023-03-04,2023-03-04 15:25:18 UTC,39.9543669139,-75.1772413559,American Woodcock,Scolopax minor,American Woodcock,Likely Peregrine Falcon predation
bsp150243087,2023-03-04,2023-03-04 19:30:00 UTC,39.960206,-75.159788,American Woodcock,Scolopax minor,American Woodcock,Bird was under Rail Park viaduct at edge of sidewalk on North 13th St.
bsp150313060,2023-03-05,2023-03-05 15:45:35 UTC,39.952075,-75.1603388333,American Woodcock,Scolopax minor,American Woodcock,
